               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.020426,           0.0048188,                   0,             0.96884,             0.95318,             0.98212,             0.73474,            0.021031,           0.0028248,                   0,             0.00788,             0.00788,             0.00788
                  55,            0.020322,           0.0049386,                   0,             0.97957,             0.95785,             0.97895,             0.73822,            0.020246,           0.0028771,                   0,             0.00784,             0.00784,             0.00784
                  56,            0.020216,           0.0048224,                   0,             0.96816,              0.9387,              0.9605,             0.71193,            0.021575,           0.0029514,                   0,              0.0078,              0.0078,              0.0078
                  57,            0.020337,           0.0046457,                   0,             0.97991,             0.93452,             0.96987,             0.73025,            0.020977,           0.0029206,                   0,             0.00776,             0.00776,             0.00776
                  58,            0.019917,           0.0046315,                   0,             0.97636,             0.94927,             0.96914,             0.73159,            0.020492,           0.0028923,                   0,             0.00772,             0.00772,             0.00772
                  59,            0.019834,           0.0046329,                   0,             0.97762,             0.95019,             0.96606,              0.7301,            0.020457,           0.0028586,                   0,             0.00768,             0.00768,             0.00768
                  60,            0.019202,           0.0046736,                   0,             0.97515,             0.95402,             0.97826,             0.73804,            0.020941,           0.0028991,                   0,             0.00764,             0.00764,             0.00764
                  61,            0.019102,           0.0044441,                   0,             0.97049,              0.9387,             0.96657,              0.7223,              0.0212,           0.0029355,                   0,              0.0076,              0.0076,              0.0076
                  62,            0.019059,           0.0045923,                   0,             0.98037,             0.95689,               0.976,             0.74631,            0.020318,           0.0028625,                   0,             0.00756,             0.00756,             0.00756
                  63,            0.019722,           0.0044991,                   0,             0.96142,             0.95489,             0.97204,             0.74394,             0.02094,           0.0029273,                   0,             0.00752,             0.00752,             0.00752
                  64,            0.019303,           0.0043863,                   0,             0.97264,             0.95402,             0.97463,             0.71672,            0.021209,           0.0029469,                   0,             0.00748,             0.00748,             0.00748
                  65,             0.01917,           0.0044412,                   0,             0.96899,              0.9577,             0.97059,             0.72956,            0.021038,           0.0028958,                   0,             0.00744,             0.00744,             0.00744
                  66,            0.019081,           0.0044942,                   0,             0.98132,             0.96169,             0.97892,              0.7272,            0.021129,           0.0028848,                   0,              0.0074,              0.0074,              0.0074
                  67,             0.01884,           0.0044318,                   0,             0.97547,             0.94253,             0.95752,             0.71104,            0.021251,           0.0030289,                   0,             0.00736,             0.00736,             0.00736
                  68,            0.019071,           0.0044493,                   0,              0.9724,             0.94492,             0.97884,             0.74386,            0.020457,           0.0028055,                   0,             0.00732,             0.00732,             0.00732
                  69,            0.018725,           0.0044837,                   0,              0.9726,             0.95184,             0.96549,             0.71445,            0.020921,           0.0029052,                   0,             0.00728,             0.00728,             0.00728
                  70,            0.018648,           0.0044231,                   0,              0.9763,             0.93487,             0.97378,              0.7236,            0.021302,            0.002937,                   0,             0.00724,             0.00724,             0.00724
                  71,            0.018551,           0.0044007,                   0,              0.9669,             0.95785,             0.96718,             0.73667,            0.020277,           0.0029761,                   0,              0.0072,              0.0072,              0.0072
                  72,            0.018209,           0.0042602,                   0,             0.97147,             0.93103,             0.96432,             0.72495,            0.021309,           0.0030131,                   0,             0.00716,             0.00716,             0.00716
                  73,            0.017951,           0.0043927,                   0,             0.97957,             0.95402,              0.9721,             0.73841,            0.020386,           0.0028756,                   0,             0.00712,             0.00712,             0.00712
                  74,             0.01795,           0.0043039,                   0,             0.97626,             0.94537,             0.96869,              0.7223,            0.020819,           0.0030161,                   0,             0.00708,             0.00708,             0.00708
                  75,            0.018133,           0.0043872,                   0,             0.96716,             0.96169,             0.97097,             0.73069,             0.02039,           0.0028332,                   0,             0.00704,             0.00704,             0.00704
                  76,            0.017911,           0.0042158,                   0,             0.97613,             0.95019,             0.96783,             0.73622,            0.019826,           0.0028161,                   0,               0.007,               0.007,               0.007
                  77,            0.018041,           0.0043042,                   0,             0.97615,             0.94099,             0.96187,             0.73205,            0.020273,           0.0028632,                   0,             0.00696,             0.00696,             0.00696
                  78,            0.018262,           0.0043616,                   0,             0.98416,             0.95239,             0.98056,              0.7462,            0.020022,           0.0028321,                   0,             0.00692,             0.00692,             0.00692
                  79,            0.018191,           0.0042866,                   0,             0.97512,             0.94636,             0.96503,             0.72459,            0.020555,           0.0029897,                   0,             0.00688,             0.00688,             0.00688
                  80,            0.017854,           0.0042608,                   0,             0.96487,             0.95785,             0.96958,             0.74532,            0.019795,           0.0027627,                   0,             0.00684,             0.00684,             0.00684
                  81,            0.017613,            0.004188,                   0,             0.95965,             0.95402,             0.95268,             0.72203,            0.020304,           0.0029178,                   0,              0.0068,              0.0068,              0.0068
                  82,            0.017714,           0.0043661,                   0,             0.96533,             0.96015,             0.96232,             0.73566,            0.020964,           0.0028142,                   0,             0.00676,             0.00676,             0.00676
                  83,            0.017503,           0.0042993,                   0,             0.97604,             0.96935,             0.98083,             0.74047,            0.020257,           0.0028384,                   0,             0.00672,             0.00672,             0.00672
                  84,             0.01701,           0.0040807,                   0,             0.97798,             0.95785,             0.97265,             0.73084,            0.020795,           0.0028549,                   0,             0.00668,             0.00668,             0.00668
                  85,            0.017296,           0.0042365,                   0,             0.98421,             0.95533,             0.96966,             0.74423,            0.019814,           0.0028422,                   0,             0.00664,             0.00664,             0.00664
                  86,            0.017191,            0.004194,                   0,             0.97159,             0.96552,              0.9748,             0.74086,            0.020043,           0.0028145,                   0,              0.0066,              0.0066,              0.0066
                  87,            0.017312,            0.004208,                   0,             0.97233,             0.95402,             0.96598,             0.73736,            0.020084,           0.0027359,                   0,             0.00656,             0.00656,             0.00656
                  88,            0.016951,           0.0041658,                   0,             0.97697,             0.96552,             0.97548,              0.7465,            0.019812,           0.0027803,                   0,             0.00652,             0.00652,             0.00652
                  89,            0.016833,           0.0042407,                   0,             0.98323,             0.95402,             0.97683,             0.73638,            0.020429,           0.0028066,                   0,             0.00648,             0.00648,             0.00648
                  90,            0.016995,           0.0042147,                   0,              0.9737,             0.95402,             0.97506,             0.74382,            0.019975,           0.0028502,                   0,             0.00644,             0.00644,             0.00644
                  91,            0.016522,           0.0041017,                   0,             0.97274,             0.95785,             0.97566,             0.74832,            0.020398,           0.0028232,                   0,              0.0064,              0.0064,              0.0064
                  92,            0.017081,           0.0040909,                   0,             0.97644,             0.95277,             0.96814,             0.73928,            0.020736,           0.0029167,                   0,             0.00636,             0.00636,             0.00636
                  93,            0.016847,           0.0041024,                   0,              0.9723,             0.94131,             0.97648,             0.73176,             0.02036,           0.0028909,                   0,             0.00632,             0.00632,             0.00632
                  94,             0.01636,           0.0041897,                   0,             0.96896,             0.95402,             0.97214,             0.74583,            0.020126,           0.0028302,                   0,             0.00628,             0.00628,             0.00628
                  95,            0.016535,           0.0040945,                   0,             0.96811,             0.95402,             0.96464,             0.73536,            0.020462,           0.0029678,                   0,             0.00624,             0.00624,             0.00624
                  96,            0.016021,           0.0040542,                   0,             0.97233,             0.96935,             0.96968,             0.73648,            0.020188,           0.0028625,                   0,              0.0062,              0.0062,              0.0062
                  97,            0.016581,           0.0040517,                   0,             0.95818,             0.96562,             0.96515,             0.72226,            0.020476,           0.0029148,                   0,             0.00616,             0.00616,             0.00616
                  98,            0.016125,           0.0041349,                   0,             0.96318,             0.97701,             0.97782,             0.73116,            0.020953,           0.0028535,                   0,             0.00612,             0.00612,             0.00612
                  99,            0.016123,           0.0039903,                   0,              0.9735,             0.95019,             0.97327,             0.74457,            0.020023,           0.0028455,                   0,             0.00608,             0.00608,             0.00608
                 100,            0.015861,           0.0039336,                   0,              0.9709,             0.94253,             0.96786,             0.73089,            0.021001,           0.0029423,                   0,             0.00604,             0.00604,             0.00604
                 101,            0.015925,           0.0040643,                   0,             0.97636,              0.9495,             0.97909,             0.74587,            0.019669,           0.0028823,                   0,               0.006,               0.006,               0.006
                 102,            0.016079,           0.0041051,                   0,             0.96915,             0.96297,             0.98117,             0.73322,            0.020021,           0.0029138,                   0,             0.00596,             0.00596,             0.00596
                 103,              0.0159,           0.0040571,                   0,              0.9581,             0.95785,             0.96913,             0.72801,            0.020274,           0.0028763,                   0,             0.00592,             0.00592,             0.00592
                 104,            0.015905,           0.0040405,                   0,             0.96164,             0.96054,             0.97119,             0.73386,            0.020009,           0.0028119,                   0,             0.00588,             0.00588,             0.00588
                 105,            0.015576,           0.0039163,                   0,             0.97306,             0.96862,             0.97477,             0.73487,            0.020238,           0.0028483,                   0,             0.00584,             0.00584,             0.00584
                 106,            0.015821,           0.0040233,                   0,             0.97664,             0.96126,             0.97863,             0.73443,            0.020637,           0.0028891,                   0,              0.0058,              0.0058,              0.0058
                 107,            0.015665,           0.0038423,                   0,              0.9671,             0.95785,             0.97026,             0.73786,            0.019774,            0.002896,                   0,             0.00576,             0.00576,             0.00576
                 108,            0.015662,           0.0039072,                   0,             0.96945,             0.97268,             0.97376,               0.747,            0.020172,           0.0029333,                   0,             0.00572,             0.00572,             0.00572
                 109,            0.015401,           0.0039655,                   0,             0.98012,             0.96169,               0.976,              0.7337,            0.020562,           0.0029398,                   0,             0.00568,             0.00568,             0.00568
                 110,            0.015242,           0.0037034,                   0,              0.9799,             0.96935,              0.9809,             0.72957,              0.0208,           0.0030156,                   0,             0.00564,             0.00564,             0.00564
                 111,            0.015344,           0.0038577,                   0,             0.96908,             0.96069,             0.97307,             0.74773,            0.019993,           0.0029268,                   0,              0.0056,              0.0056,              0.0056
                 112,            0.015268,           0.0039106,                   0,             0.97255,             0.95026,             0.96645,             0.73773,            0.020341,           0.0029078,                   0,             0.00556,             0.00556,             0.00556
                 113,            0.015055,           0.0040231,                   0,              0.9689,             0.95507,             0.97209,             0.73365,            0.020638,           0.0028687,                   0,             0.00552,             0.00552,             0.00552
                 114,            0.014883,             0.00378,                   0,             0.96792,             0.95402,             0.96912,             0.74673,             0.02018,           0.0029366,                   0,             0.00548,             0.00548,             0.00548
                 115,            0.015492,           0.0039227,                   0,             0.97573,             0.96552,             0.98184,             0.73886,            0.020556,           0.0029335,                   0,             0.00544,             0.00544,             0.00544
                 116,            0.015077,            0.003739,                   0,             0.96896,             0.95673,             0.97251,             0.74765,            0.019692,           0.0029225,                   0,              0.0054,              0.0054,              0.0054
                 117,            0.014905,           0.0037779,                   0,             0.97167,             0.95019,             0.97162,             0.73925,            0.020118,           0.0029848,                   0,             0.00536,             0.00536,             0.00536
                 118,            0.015257,           0.0039104,                   0,              0.9654,             0.96213,             0.97293,             0.72226,             0.02009,           0.0029162,                   0,             0.00532,             0.00532,             0.00532
                 119,            0.014879,           0.0037162,                   0,             0.96136,             0.95321,             0.96659,             0.73977,            0.019692,            0.002908,                   0,             0.00528,             0.00528,             0.00528
                 120,            0.014513,           0.0037668,                   0,             0.97544,             0.95785,             0.97101,              0.7392,            0.020415,           0.0029417,                   0,             0.00524,             0.00524,             0.00524
                 121,             0.01468,           0.0037717,                   0,             0.96646,             0.96935,             0.96987,             0.73456,            0.020108,           0.0028349,                   0,              0.0052,              0.0052,              0.0052
                 122,            0.014756,           0.0037052,                   0,             0.96889,             0.98084,             0.97884,             0.73432,            0.020118,           0.0028825,                   0,             0.00516,             0.00516,             0.00516
                 123,            0.014484,           0.0037034,                   0,             0.98907,             0.96552,             0.98302,              0.7333,            0.020053,           0.0029023,                   0,             0.00512,             0.00512,             0.00512
                 124,            0.014908,           0.0036676,                   0,             0.96905,             0.97318,             0.97009,             0.73523,            0.019888,           0.0027804,                   0,             0.00508,             0.00508,             0.00508
                 125,            0.014434,           0.0037312,                   0,             0.96882,             0.95228,             0.96362,             0.73451,            0.020162,           0.0029308,                   0,             0.00504,             0.00504,             0.00504
                 126,            0.014223,           0.0035867,                   0,             0.96174,             0.96169,             0.96811,             0.74815,            0.019658,           0.0029075,                   0,               0.005,               0.005,               0.005
                 127,            0.013843,           0.0036505,                   0,             0.95683,             0.97701,             0.96809,              0.7279,            0.019931,           0.0029479,                   0,             0.00496,             0.00496,             0.00496
                 128,             0.01439,           0.0037083,                   0,             0.96167,             0.96127,             0.97001,             0.73607,            0.019984,           0.0029047,                   0,             0.00492,             0.00492,             0.00492
                 129,            0.014446,           0.0037513,                   0,             0.96911,             0.95402,             0.96446,              0.7441,            0.020004,           0.0029067,                   0,             0.00488,             0.00488,             0.00488
                 130,            0.014048,           0.0036838,                   0,             0.96932,             0.96855,             0.96409,             0.72341,            0.020148,           0.0029554,                   0,             0.00484,             0.00484,             0.00484
                 131,            0.014313,            0.003684,                   0,             0.96206,             0.95785,             0.96789,             0.74338,            0.020067,            0.002906,                   0,              0.0048,              0.0048,              0.0048
                 132,            0.013886,           0.0035644,                   0,             0.97645,             0.95305,             0.97073,             0.74593,            0.019949,           0.0029456,                   0,             0.00476,             0.00476,             0.00476
                 133,            0.014112,           0.0036749,                   0,             0.98448,             0.97198,             0.98256,             0.74604,            0.019326,            0.002867,                   0,             0.00472,             0.00472,             0.00472
                 134,            0.013636,           0.0035213,                   0,             0.97691,             0.97274,             0.98411,             0.75505,            0.019834,           0.0029219,                   0,             0.00468,             0.00468,             0.00468
                 135,            0.013762,           0.0035578,                   0,             0.96969,             0.98057,             0.98375,             0.74501,             0.01971,           0.0028697,                   0,             0.00464,             0.00464,             0.00464
                 136,            0.013653,           0.0035065,                   0,             0.97593,             0.95402,             0.97937,             0.74318,            0.020077,           0.0029335,                   0,              0.0046,              0.0046,              0.0046
                 137,            0.014038,           0.0036332,                   0,             0.96555,             0.97701,             0.98258,              0.7501,            0.020048,           0.0028494,                   0,             0.00456,             0.00456,             0.00456
                 138,            0.013691,           0.0035874,                   0,             0.97682,             0.96891,             0.98097,             0.74155,             0.01997,           0.0028844,                   0,             0.00452,             0.00452,             0.00452
                 139,            0.013655,           0.0035399,                   0,             0.97278,             0.95841,              0.9725,             0.74002,            0.020171,            0.002961,                   0,             0.00448,             0.00448,             0.00448
                 140,            0.013568,           0.0034843,                   0,             0.97701,             0.97675,             0.98232,             0.73906,            0.019998,           0.0028993,                   0,             0.00444,             0.00444,             0.00444
                 141,            0.013413,           0.0035272,                   0,             0.97643,             0.97318,             0.98194,             0.73401,            0.020088,           0.0029534,                   0,              0.0044,              0.0044,              0.0044
                 142,            0.013312,           0.0034838,                   0,             0.98839,             0.95402,             0.98108,             0.74054,            0.020072,            0.002951,                   0,             0.00436,             0.00436,             0.00436
                 143,            0.013436,           0.0035675,                   0,              0.9708,             0.96169,             0.97109,              0.7357,             0.02049,           0.0030183,                   0,             0.00432,             0.00432,             0.00432
                 144,            0.012914,           0.0033445,                   0,             0.98822,             0.96405,             0.98171,             0.73358,            0.020295,           0.0029656,                   0,             0.00428,             0.00428,             0.00428
                 145,             0.01329,           0.0032911,                   0,             0.96933,              0.9686,             0.98184,             0.74134,            0.019873,           0.0029448,                   0,             0.00424,             0.00424,             0.00424
                 146,            0.013306,           0.0034355,                   0,             0.97948,             0.95402,             0.98256,             0.74054,            0.020025,           0.0029596,                   0,              0.0042,              0.0042,              0.0042
                 147,            0.013265,           0.0035951,                   0,             0.97273,             0.95658,             0.98066,             0.74744,            0.019636,           0.0029037,                   0,             0.00416,             0.00416,             0.00416
                 148,            0.012985,           0.0033817,                   0,             0.97296,             0.96491,             0.97068,             0.74225,            0.020103,           0.0030148,                   0,             0.00412,             0.00412,             0.00412
                 149,            0.012874,           0.0035094,                   0,             0.96743,             0.96935,             0.97979,             0.73228,            0.020532,           0.0030244,                   0,             0.00408,             0.00408,             0.00408
                 150,            0.012963,           0.0034052,                   0,             0.98044,             0.96037,             0.97771,             0.73699,            0.020489,           0.0030255,                   0,             0.00404,             0.00404,             0.00404
                 151,            0.012797,           0.0033873,                   0,              0.9684,             0.95785,             0.97965,             0.74233,            0.019888,           0.0030315,                   0,               0.004,               0.004,               0.004
                 152,            0.012976,           0.0034674,                   0,             0.97599,             0.95785,             0.97891,             0.73659,            0.020124,           0.0030582,                   0,             0.00396,             0.00396,             0.00396
                 153,            0.012519,           0.0033675,                   0,             0.98086,             0.98148,             0.98283,             0.73735,            0.020209,           0.0028882,                   0,             0.00392,             0.00392,             0.00392
                 154,            0.012649,           0.0033984,                   0,             0.97672,             0.96453,              0.9811,             0.74857,            0.019761,           0.0028983,                   0,             0.00388,             0.00388,             0.00388
                 155,            0.012514,           0.0034222,                   0,             0.97285,             0.96085,             0.98155,             0.74761,            0.019591,            0.002934,                   0,             0.00384,             0.00384,             0.00384
                 156,            0.012441,           0.0032825,                   0,             0.96213,             0.97331,             0.97926,             0.74358,            0.020155,           0.0029739,                   0,              0.0038,              0.0038,              0.0038
                 157,            0.012555,           0.0033848,                   0,             0.96529,             0.95891,             0.98009,             0.75682,            0.019702,            0.002961,                   0,             0.00376,             0.00376,             0.00376
                 158,            0.012115,           0.0032446,                   0,             0.96535,             0.96169,             0.97387,             0.75532,            0.019969,           0.0029917,                   0,             0.00372,             0.00372,             0.00372
                 159,             0.01246,           0.0032373,                   0,             0.97238,             0.95019,             0.97451,             0.74577,            0.020029,            0.003017,                   0,             0.00368,             0.00368,             0.00368
                 160,            0.012364,           0.0032591,                   0,             0.96533,             0.96005,             0.97377,             0.74609,            0.019926,           0.0029982,                   0,             0.00364,             0.00364,             0.00364
                 161,            0.012272,           0.0033366,                   0,             0.96763,             0.95785,             0.97397,             0.74664,            0.019941,           0.0029888,                   0,              0.0036,              0.0036,              0.0036
